wl,n
12.229,2.15E-02
12.345,2.15E-02
12.464,2.30E-02
12.585,2.50E-02
12.708,2.00E-02
12.834,1.41E-02
12.962,1.37E-02
13.093,1.30E-02
13.227,1.52E-02
13.363,2.86E-02
13.502,1.53E-01
13.645,3.61E-01
13.790,3.50E-01
13.938,1.32E-01
14.089,2.33E-02
14.244,1.70E-02
14.403,9.14E-03
14.564,8.78E-03
14.730,8.48E-03
14.899,6.82E-03
15.072,5.77E-03
15.250,5.66E-03
15.431,5.80E-03
15.617,9.01E-03
15.808,1.05E-02
16.003,6.86E-03
16.203,4.16E-03
16.408,5.45E-03
16.618,7.70E-03
16.834,6.35E-03
17.056,4.91E-03
17.283,4.16E-03
17.517,5.65E-03
17.757,9.61E-03
18.003,1.21E-02
18.257,1.39E-02
18.518,1.82E-02
18.786,2.23E-02
19.062,2.33E-02
19.347,2.61E-02
19.640,3.63E-02
19.942,4.48E-02
